iter	Passed	Remaining
433	678	884
434	679	883
435	681	881
436	682	879
437	684	878
438	686	876
439	687	875
440	689	873
441	691	872
442	692	871
443	694	869
444	695	868
445	697	866
446	699	865
447	700	863
448	702	861
449	704	860
450	705	859
451	707	857
452	708	856
453	710	854
454	711	852
455	713	851
456	714	849
457	716	848
458	718	846
459	719	845
460	721	843
461	722	841
462	724	840
463	725	838
464	727	836
465	728	835
466	730	833
467	731	831
468	733	830
469	734	828
470	736	826
471	737	825
472	739	823
473	740	822
474	742	820
475	743	818
476	745	817
477	747	815
478	748	814
479	750	812
480	751	810
481	752	809
482	754	807
483	756	806
484	757	804
485	759	802
486	760	801
487	762	799
488	763	798
489	765	796
490	766	794
491	768	793
492	769	791
493	771	790
494	772	788
495	774	786
496	775	785
497	777	783
498	778	782
499	780	780
500	781	778
501	783	777
502	784	775
503	786	774
504	788	772
505	789	770
506	790	769
507	792	767
508	793	765
509	795	764
510	796	762
511	798	760
512	799	759
513	801	757
514	802	756
515	804	754
516	805	752
517	807	751
518	808	749
519	810	748
520	811	746
521	813	744
522	814	743
523	816	741
524	817	739
525	819	738
526	821	736
527	822	735
528	824	733
529	825	732
530	827	730
531	828	729
532	830	727
533	831	725
534	833	724
535	835	722
536	836	721
537	838	719
538	839	718
539	841	716
540	842	714
541	844	713
542	845	711
543	847	710
544	848	708
545	850	707
546	852	705
547	854	704
548	855	702
549	857	701
550	858	699
551	860	698
552	861	696
553	863	695
554	865	693
555	866	692
556	868	690
557	869	688
558	871	687
559	872	685
560	873	683
561	875	682
562	877	680
563	878	679
564	880	677
565	881	676
566	883	674
567	884	673
568	886	671
569	888	669
570	889	668
571	891	666
572	892	665
573	894	663
574	895	662
575	897	660
576	899	659
577	900	657
578	902	656
579	903	654
580	905	653
581	907	651
582	908	649
583	910	648
584	911	646
585	913	645
586	914	643
587	916	642
588	917	640
589	919	639
590	921	637
591	922	635
592	924	634
593	925	632
594	927	631
595	928	629
596	930	628
597	932	626
598	933	624
599	935	623
600	936	621
601	938	620
602	939	618
603	940	616
604	942	615
605	944	613
606	945	612
607	947	611
608	949	609
609	950	607
610	952	606
611	953	604
612	955	603
613	956	601
614	958	599
615	959	598
616	960	596
617	962	594
618	963	593
619	965	591
620	967	590
621	968	588
622	969	586
623	971	585
624	972	583
625	974	582
626	975	580
627	976	578
628	978	577
629	979	575
630	981	573
631	983	572
632	984	570
633	986	569
634	987	567
635	988	566
636	990	564
637	991	562
638	993	561
639	994	559
640	996	558
641	997	556
642	999	554
643	1000	553
644	1002	551
645	1003	550
646	1005	548
647	1006	546
648	1008	545
649	1009	543
650	1010	541
651	1012	540
652	1013	538
653	1015	537
654	1016	535
655	1018	534
656	1019	532
657	1021	530
658	1022	529
659	1023	527
660	1025	526
661	1027	524
662	1029	523
663	1030	521
664	1031	519
665	1033	518
666	1034	516
667	1036	515
668	1038	513
669	1039	512
670	1041	510
671	1042	509
672	1044	507
673	1045	505
674	1047	504
675	1048	502
676	1050	501
677	1051	499
678	1053	498
679	1054	496
680	1056	494
681	1058	493
682	1059	491
683	1061	490
684	1062	488
685	1064	487
686	1065	485
687	1067	484
688	1068	482
689	1070	480
690	1072	479
691	1073	477
692	1075	476
693	1076	474
694	1078	473
695	1079	471
696	1081	470
697	1083	468
698	1084	466
699	1085	465
700	1087	463
701	1088	462
702	1090	460
703	1092	459
704	1093	457
705	1094	455
706	1096	454
707	1097	452
708	1099	451
709	1100	449
710	1102	448
711	1103	446
712	1105	444
713	1107	443
714	1108	441
715	1110	440
716	1111	438
717	1113	437
718	1114	435
719	1116	434
720	1117	432
721	1119	431
722	1120	429
723	1122	427
724	1124	426
725	1125	424
726	1126	423
727	1128	421
728	1130	420
729	1131	418
730	1132	416
731	1134	415
732	1136	413
733	1137	412
734	1139	410
735	1140	409
736	1142	407
737	1143	405
738	1145	404
739	1146	402
740	1148	401
741	1149	399
742	1151	398
743	1152	396
744	1154	395
745	1156	393
746	1157	392
747	1159	390
748	1161	389
749	1162	387
750	1164	385
751	1165	384
752	1166	382
753	1168	381
754	1169	379
755	1171	378
756	1173	376
757	1174	374
758	1176	373
759	1177	371
760	1178	370
761	1180	368
762	1182	367
763	1183	365
764	1185	364
765	1186	362
766	1188	360
767	1189	359
768	1191	357
769	1192	356
770	1194	354
771	1195	353
772	1197	351
773	1198	350
774	1200	348
775	1201	346
776	1203	345
777	1205	343
778	1206	342
779	1208	340
780	1209	339
781	1211	337
782	1212	336
783	1214	334
784	1215	333
785	1217	331
786	1218	329
787	1220	328
788	1221	326
789	1223	325
790	1224	323
791	1226	322
792	1227	320
793	1229	318
794	1230	317
795	1232	315
796	1234	314
797	1235	312
798	1237	311
799	1238	309
800	1239	308
801	1241	306
802	1243	304
803	1244	303
804	1246	301
805	1247	300
806	1249	298
807	1250	297
808	1252	295
809	1253	294
810	1255	292
811	1256	290
812	1258	289
813	1259	287
814	1261	286
815	1263	284
816	1264	283
817	1266	281
818	1268	280
819	1270	278
820	1271	277
821	1273	275
822	1275	274
823	1276	272
824	1278	271
825	1279	269
826	1281	268
827	1283	266
828	1285	265
829	1286	263
830	1288	262
831	1290	260
832	1291	258
833	1293	257
834	1294	255
835	1296	254
836	1298	252
837	1299	251
838	1301	249
839	1303	248
840	1304	246
841	1306	245
842	1307	243
843	1309	242
844	1311	240
845	1312	238
846	1314	237
847	1316	235
848	1317	234
849	1319	232
850	1320	231
851	1322	229
852	1324	228
853	1325	226
854	1327	225
855	1328	223
856	1330	221
857	1331	220
858	1333	218
859	1334	217
860	1336	215
861	1338	214
862	1339	212
863	1340	211
864	1342	209
865	1343	207
866	1345	206
867	1347	204
868	1348	203
869	1350	201
870	1351	200
871	1353	198
872	1354	197
873	1356	195
874	1357	193
875	1359	192
876	1360	190
877	1362	189
878	1363	187
879	1365	186
880	1366	184
881	1368	183
882	1369	181
883	1371	179
884	1372	178
885	1374	176
886	1375	175
887	1377	173
888	1378	172
889	1380	170
890	1381	169
891	1383	167
892	1384	165
893	1386	164
894	1387	162
895	1389	161
896	1390	159
897	1392	158
898	1393	156
899	1395	155
900	1396	153
901	1398	151
902	1399	150
903	1401	148
904	1402	147
905	1403	145
906	1405	144
907	1406	142
908	1408	140
909	1409	139
910	1411	137
911	1412	136
912	1414	134
913	1416	133
914	1417	131
915	1419	130
916	1420	128
917	1422	127
918	1423	125
919	1425	123
920	1426	122
921	1428	120
922	1429	119
923	1431	117
924	1433	116
925	1434	114
926	1436	113
927	1437	111
928	1439	110
929	1441	108
930	1442	106
931	1444	105
932	1445	103
933	1447	102
934	1448	100
935	1450	99
936	1451	97
937	1453	96
938	1454	94
939	1456	92
940	1457	91
941	1459	89
942	1460	88
943	1462	86
944	1463	85
945	1465	83
946	1466	82
947	1468	80
948	1469	78
949	1471	77
950	1472	75
951	1474	74
952	1475	72
953	1477	71
954	1478	69
955	1479	68
956	1481	66
957	1482	65
958	1484	63
959	1485	61
960	1487	60
961	1489	58
962	1490	57
963	1492	55
964	1493	54
965	1495	52
966	1496	51
967	1498	49
968	1499	47
969	1501	46
970	1502	44
971	1504	43
972	1505	41
973	1507	40
974	1508	38
975	1510	37
976	1511	35
977	1513	34
978	1514	32
979	1515	30
980	1517	29
981	1519	27
982	1520	26
983	1522	24
984	1523	23
985	1525	21
986	1526	20
987	1528	18
988	1529	17
989	1530	15
990	1532	13
991	1534	12
992	1535	10
993	1537	9
994	1538	7
995	1540	6
996	1542	4
997	1543	3
998	1545	1
999	1546	0
