iter	RMSE
175	0.5986762791
176	0.5980579938
177	0.5975284705
178	0.5970212908
179	0.5965169808
180	0.5960996408
181	0.5957496067
182	0.5951785373
183	0.5947302701
184	0.5943959559
185	0.5936581479
186	0.5931908858
187	0.5928070498
188	0.5923550062
189	0.5915937304
190	0.5910613843
191	0.5906080221
192	0.5901398271
193	0.589899611
194	0.5896116428
195	0.5891107127
196	0.5885671646
197	0.5882809052
198	0.5876971578
199	0.5872570497
200	0.5871786391
201	0.5868423582
202	0.586413699
203	0.5861124259
204	0.5857364236
205	0.5856676108
206	0.5853031474
207	0.5849766548
208	0.5845453776
209	0.5842250133
210	0.5840246035
211	0.5834354244
212	0.5832240742
213	0.5827770285
214	0.5823092447
215	0.5818328047
216	0.581426144
217	0.5813439987
218	0.5809813072
219	0.5806969467
220	0.58030104
221	0.5797734059
222	0.5791868764
223	0.5789853525
224	0.5785921909
225	0.5783013625
226	0.5782256027
227	0.5781708785
228	0.5775920057
229	0.577246454
230	0.576999975
231	0.5766352546
232	0.5756018682
233	0.5754048956
234	0.575229968
235	0.5748762739
236	0.5744724122
237	0.5741165119
238	0.5737903618
239	0.5734562566
240	0.5728942794
241	0.5726592185
242	0.5723314778
243	0.5720059274
244	0.571597102
245	0.5711358451
246	0.5707542352
247	0.570155005
248	0.5699028829
249	0.5695144031
250	0.5691232497
251	0.5686829228
252	0.5683461681
253	0.5681169795
254	0.5677041069
255	0.5674660521
256	0.5672297476
257	0.5669626788
258	0.5663115813
259	0.5662452615
260	0.5658946765
261	0.5654403029
262	0.5651397609
263	0.5650680703
264	0.5645025888
265	0.5641195343
266	0.5637006489
267	0.5633897357
268	0.5629504914
269	0.5627103834
270	0.5622880652
271	0.5620743773
272	0.5617158935
273	0.5613566425
274	0.560999245
275	0.5607665654
276	0.560529389
277	0.5601167711
278	0.5599357433
279	0.5598624967
280	0.559498112
281	0.5592037187
282	0.5588622302
283	0.5583489576
284	0.5581702693
285	0.55778609
286	0.5575894096
287	0.5571971279
288	0.5567761933
289	0.5563925208
290	0.5558821539
291	0.555502526
292	0.5552795804
293	0.5549125427
294	0.554730096
295	0.5544294107
296	0.5539890915
297	0.5537746122
298	0.5535102933
299	0.5529241027
300	0.5527413595
301	0.552386669
302	0.5518589508
303	0.5515873075
304	0.5515099148
305	0.5512635544
306	0.5510358844
307	0.5505673611
308	0.5501599874
309	0.5499749853
310	0.5496840916
311	0.5495255504
312	0.5492506455
313	0.5490606561
314	0.5486559215
315	0.5483144697
316	0.5479834279
317	0.5477822427
318	0.5475464983
319	0.5473077337
320	0.5471056641
321	0.5469691964
322	0.5467833004
323	0.5462911362
324	0.5461629029
325	0.545966279
326	0.5457336242
327	0.5455731964
328	0.5455570336
329	0.5454672326
330	0.5451849066
331	0.544970095
332	0.5446672775
333	0.544102984
334	0.5436303669
335	0.5433832293
336	0.5430353284
337	0.5426986956
338	0.5421927623
339	0.5418287528
340	0.5415320922
341	0.5412450048
342	0.5406752139
343	0.5403879934
344	0.5402268965
345	0.5401121969
346	0.5400408979
347	0.5399488144
348	0.5395850332
349	0.5392650203
350	0.5390301239
351	0.5386529623
352	0.5383512294
353	0.5383055452
354	0.5382380077
355	0.5380053486
356	0.5377303953
357	0.5374999635
358	0.5373779106
359	0.5373655748
360	0.5371673365
361	0.5368846259
362	0.5367059628
363	0.5362847669
364	0.5360842623
365	0.5358345513
366	0.5355564264
367	0.5352098591
368	0.5349910643
369	0.5346614644
370	0.5343449291
371	0.5341501573
372	0.5339115217
373	0.5336740224
374	0.5332742415
375	0.5330061929
376	0.5328043638
377	0.5325545426
378	0.5322456514
379	0.5320399041
380	0.5317850485
381	0.5315155519
382	0.5312087945
383	0.5311149076
384	0.5309528205
385	0.5307243014
386	0.5305468678
387	0.5302425951
388	0.5299510485
389	0.5297358479
390	0.5294200322
391	0.5291742808
392	0.5289868624
393	0.528876243
394	0.5286123558
395	0.5283172809
396	0.528188585
397	0.5278421362
398	0.5276802231
399	0.5274853199
400	0.5272128981
401	0.52677997
402	0.5266199019
403	0.5264741096
404	0.5260372405
405	0.5260269904
406	0.5258420872
407	0.525629322
408	0.5254404385
409	0.5252982598
410	0.5251169141
411	0.5248401224
412	0.5247555556
413	0.5245425007
414	0.524274749
415	0.5241997988
416	0.5239940024
417	0.5238650959
418	0.5236152791
419	0.5233938462
420	0.5232569889
421	0.5231364409
422	0.5229092419
423	0.5227532979
424	0.5225385789
425	0.5223840417
426	0.5222593102
427	0.52215085
428	0.5218118407
429	0.5215210399
430	0.5213849185
431	0.5212341372
432	0.5206574367
433	0.5202276403
434	0.5200463442
435	0.5198717814
436	0.5197026869
437	0.5193962143
438	0.5191808345
439	0.5190207253
440	0.5188570822
441	0.5186650353
442	0.5184036244
443	0.5183233595
444	0.5180828644
445	0.5179432569
446	0.5178916299
447	0.5176626762
448	0.5174536078
449	0.5170314774
450	0.5168673063
451	0.5165374614
452	0.5164978265
453	0.5163301259
454	0.5160655428
455	0.5158359684
456	0.5156468484
457	0.5156394417
458	0.5154967931
459	0.5149966177
460	0.51482104
461	0.514542166
462	0.5143651209
463	0.5141551095
464	0.5139803459
465	0.513977958
466	0.5137851062
467	0.5136538881
468	0.5134164854
469	0.5133002514
470	0.5129891808
471	0.5128000746
472	0.5124566546
473	0.5122905011
474	0.5119988419
475	0.5119628772
476	0.511781883
477	0.5115737015
478	0.5114789441
479	0.5113085204
480	0.5109863353
481	0.5109520892
482	0.5108017509
483	0.5106798786
484	0.5105230121
485	0.5102791165
486	0.5100519882
487	0.5100244061
488	0.5097789058
489	0.5096077579
490	0.5093645171
491	0.5090504477
492	0.5088156956
493	0.5085886879
494	0.5082630861
495	0.5081020812
496	0.5080785533
497	0.5079216019
498	0.5078238014
499	0.5076010146
500	0.5074315851
501	0.5071654393
502	0.5068908298
503	0.5067933708
504	0.506560507
505	0.5065547235
506	0.5062277558
507	0.5058668862
508	0.505734044
509	0.5054189437
510	0.5052443295
511	0.5048901411
512	0.5046860192
513	0.5043838828
514	0.5041584003
515	0.5039720617
516	0.5037098663
517	0.5034193199
518	0.503013277
519	0.5027974943
520	0.5026490072
521	0.5024657625
522	0.5022914778
523	0.5020470049
524	0.5018082932
525	0.5015115948
526	0.5013881109
527	0.501214645
528	0.5011994072
529	0.5008500173
530	0.5006316293
531	0.500471837
532	0.5004179602
533	0.5000942428
534	0.4998840663
535	0.4997329909
536	0.4996244534
537	0.499390063
538	0.4992704977
539	0.4991103278
540	0.4990389082
541	0.4989166743
542	0.4987014111
543	0.4985348535
544	0.4982659758
545	0.4981158864
546	0.4978678104
547	0.4977345865
548	0.4974774277
549	0.4973080874
550	0.4969680014
551	0.4967596822
552	0.4965796143
553	0.4963583457
554	0.4963316891
555	0.4962677051
556	0.4960194159
557	0.4957852679
558	0.4955758483
559	0.4954594271
560	0.4953384343
561	0.4951474528
562	0.4948978968
563	0.4946387804
564	0.4943658002
565	0.4942644873
566	0.49414169
567	0.4940237183
568	0.493830821
569	0.4936592556
570	0.493338468
571	0.4931505455
572	0.4929247534
573	0.4927247949
574	0.4925871011
575	0.4925050656
576	0.4923114994
577	0.4920782982
578	0.4920371831
579	0.4917482651
580	0.4914546702
581	0.4913697991
582	0.4912317514
583	0.4910149972
584	0.4907865153
585	0.4905606711
586	0.4903833694
587	0.4903699825
588	0.4901657913
589	0.4900788694
590	0.4897801623
591	0.4895144508
592	0.4892560662
593	0.4889702023
594	0.4888822118
595	0.488866174
596	0.4887018204
597	0.4886127352
598	0.488429913
599	0.4883855766
600	0.4881705955
601	0.4879933328
602	0.4879492066
603	0.4878129206
604	0.4877641006
605	0.4876733225
606	0.4875684819
607	0.4872991002
608	0.4870654869
609	0.4867934946
610	0.4867177664
611	0.4866190431
612	0.4864691469
613	0.4863186356
614	0.486210839
615	0.4860246697
616	0.4858353982
617	0.4856982215
618	0.4853018823
619	0.4849745795
620	0.4847026478
621	0.4845427677
622	0.4844880455
623	0.4843186478
624	0.4842531064
625	0.4842158002
626	0.4841418694
627	0.484048291
628	0.4838878567
629	0.4837912852
630	0.483625986
631	0.4836159115
632	0.4833721264
633	0.4832167121
634	0.4829938087
635	0.48283535
636	0.4826397642
637	0.4825030478
638	0.4823666664
639	0.4820721091
640	0.481883126
641	0.4816757741
642	0.4815278566
643	0.4813120859
644	0.4810883861
645	0.4808434508
646	0.4805794309
647	0.4804495077
648	0.4803228795
649	0.4801426487
650	0.4801239533
651	0.4797781638
652	0.4796308584
653	0.4794439151
654	0.4791846391
655	0.478907463
656	0.4788973468
657	0.4786563492
658	0.4785265478
659	0.4783422455
660	0.4782574963
661	0.4781884505
662	0.4780300432
663	0.4779723136
664	0.4777640069
665	0.4775226424
666	0.4773329236
667	0.4771281188
668	0.4768616545
669	0.4767403981
670	0.4765903118
671	0.4764563714
672	0.4762923345
673	0.4761625714
674	0.4761085059
675	0.4759839721
676	0.4759244183
677	0.4758095441
678	0.4756599832
679	0.4754703246
680	0.475362755
681	0.4751729911
682	0.4750277505
683	0.4748400515
684	0.4747104871
685	0.4744801612
686	0.4744259199
687	0.4742484006
688	0.4739091113
689	0.473820787
690	0.47375666
691	0.4735846345
692	0.4732859804
693	0.4732009897
694	0.4729447123
695	0.4727904074
696	0.4726206634
697	0.4724490876
698	0.4722772357
699	0.472076121
700	0.4720702539
701	0.4718962598
702	0.4717924063
703	0.47169907
704	0.4715229595
705	0.4713086586
706	0.4711842992
707	0.4709186316
708	0.4708316235
709	0.4707625282
710	0.4705598988
711	0.4705291528
712	0.4703633877
713	0.4701609291
714	0.4698561499
715	0.4697257549
716	0.4694363964
717	0.4694295983
718	0.4694049216
719	0.4691756691
720	0.4690091905
721	0.4688359868
722	0.4687360871
723	0.4684681754
724	0.4683140587
725	0.4682709286
726	0.468058877
727	0.4679038479
728	0.4677384826
729	0.467555814
730	0.4674160412
731	0.4671287086
732	0.4670315923
733	0.4668446684
734	0.4667347621
735	0.4666051806
736	0.4663714596
737	0.4662641809
738	0.4661505728
739	0.4659674217
740	0.4656633616
741	0.4655964109
742	0.465458467
743	0.4653036935
744	0.4651303547
745	0.4649041069
746	0.4648027478
747	0.4646570701
748	0.4642777332
749	0.4639754862
750	0.4638295412
751	0.4637758939
752	0.4635786453
753	0.4634608347
754	0.4633678271
755	0.4632590931
756	0.4630286696
757	0.4627900237
758	0.4625233354
759	0.4623442968
760	0.4620721784
761	0.4619392347
762	0.4618013815
763	0.4617019496
764	0.4616287945
765	0.4614230703
766	0.4612776044
767	0.4611258263
768	0.460922612
769	0.4608175184
770	0.4606438369
771	0.4605776956
772	0.4604221496
773	0.4602902582
774	0.4602302266
775	0.4601326751
776	0.4600216079
777	0.4598266154
778	0.4597315971
779	0.4596099778
780	0.459503261
781	0.4592728736
782	0.4592037609
783	0.4589575136
784	0.458716963
785	0.4586361765
786	0.45848317
787	0.4582626606
788	0.4581336097
789	0.4578582132
790	0.4576408024
791	0.4575206595
792	0.4572734287
793	0.4571514855
794	0.4570910918
795	0.4568908196
796	0.4566272224
797	0.4564596089
798	0.4562869526
799	0.4561362354
800	0.4559429412
801	0.455510239
802	0.4554145852
803	0.4553181324
804	0.4552917939
805	0.4551378419
806	0.4549310733
807	0.454642927
808	0.4545671074
809	0.4543839482
810	0.4542860871
811	0.4540474435
812	0.4538571345
813	0.4535528737
814	0.4535515237
815	0.4534729635
816	0.4533825219
817	0.453226979
818	0.4531929626
819	0.4530615098
820	0.4529505294
821	0.4528177767
822	0.4526805115
823	0.4525514915
824	0.4523619214
825	0.4522986142
826	0.4521795382
827	0.4520532265
828	0.4518558114
829	0.4517528087
830	0.4516158943
831	0.4515044456
832	0.4512816058
833	0.4511774826
834	0.4510008929
835	0.4508707077
836	0.4507285156
837	0.4507266175
838	0.4507131113
839	0.4505330016
840	0.4503882678
841	0.4502721435
842	0.4501542237
843	0.4499903055
844	0.4497871217
845	0.4496668343
846	0.4494888629
847	0.4493288901
848	0.4492475799
849	0.449160665
850	0.4491594569
851	0.4490507896
852	0.4489209348
853	0.4487108487
854	0.4485613732
855	0.4484978401
856	0.4482894799
857	0.4482682583
858	0.4481753065
859	0.448055961
860	0.4478821648
861	0.4478554865
862	0.4476822724
863	0.4475763577
864	0.4474295909
865	0.4471967677
866	0.4471020763
867	0.4470029413
868	0.4468993671
869	0.4466765273
870	0.4465468321
871	0.4463842262
872	0.4463067868
873	0.4462708256
874	0.4460359766
875	0.4458709135
876	0.4456325995
877	0.4453469875
878	0.4452873289
879	0.4452139393
880	0.4451196646
881	0.4451166396
882	0.4449925632
883	0.4448700127
884	0.4447484711
885	0.4446514754
886	0.4445034963
887	0.4443954232
888	0.4441603579
889	0.4440435056
890	0.4438487695
891	0.4437580253
892	0.4435756813
893	0.4434073754
894	0.443096169
895	0.4429176625
896	0.4427448194
897	0.4426911341
898	0.4425991198
899	0.4425205968
900	0.442304837
901	0.4421255839
902	0.441982348
903	0.4418589176
904	0.4417923167
905	0.4417902073
906	0.4417248726
907	0.4413289218
908	0.4411367491
909	0.4408443052
910	0.4407708931
911	0.4406513534
912	0.4405218195
913	0.4403604398
914	0.4403336628
915	0.4401688458
916	0.4401195618
917	0.4399258344
918	0.4397917988
919	0.4394443555
920	0.4393190598
921	0.4391553281
922	0.4390375152
923	0.4389505859
924	0.4387033838
925	0.4385375535
926	0.4383868702
927	0.4383203416
928	0.4382880651
929	0.4381538357
930	0.4381082464
931	0.4379610908
932	0.4377350803
933	0.4374504606
934	0.4373936777
935	0.4373672969
936	0.4372841291
937	0.4372468571
938	0.4371421189
939	0.437033098
940	0.4369082274
941	0.4368537286
942	0.436605402
943	0.4364702937
944	0.436349415
945	0.4362351098
946	0.436080811
947	0.4358084355
948	0.4356544355
949	0.435465439
950	0.4352478031
951	0.4350563684
952	0.4348784721
953	0.4346431191
954	0.4345089898
955	0.4343989946
956	0.4342922152
957	0.4341771492
958	0.4341737222
959	0.4340962006
960	0.433968418
961	0.4336136256
962	0.4334614878
963	0.4333149545
964	0.433201149
965	0.433096267
966	0.4329503191
967	0.4328963273
968	0.4327576593
969	0.4326319932
970	0.4324432104
971	0.4322758903
972	0.4320587169
973	0.4318780188
974	0.431764166
975	0.431624832
976	0.4315101183
977	0.4314475927
978	0.4313213586
979	0.4311645285
980	0.4310972616
981	0.4309113988
982	0.430838079
983	0.4306234545
984	0.4305430446
985	0.4304389128
986	0.4302242723
987	0.4300468628
988	0.4300436319
989	0.4299264123
990	0.4298185765
991	0.4296910482
992	0.4295447879
993	0.429408578
994	0.4292933971
995	0.4291687174
996	0.4289456462
997	0.4287957257
998	0.4286588212
999	0.4285286539
99	0.4266678567
